player,team,pos,g,mp,g_1,mp_1,per,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,DUMMY,ows,dws,ws,ws_per_40
Sug Sutton,POR,G,3,68,3,68,14.8,.480,.452,.258,.323,1.9,4.6,43.9,1.5,0.0,14.5,27.3,103,118,,0.0,0.0,0.0,.017
Grace VanSlooten,SEA,F,4,48,4,48,20.8,.738,.750,.375,1.000,2.4,7.2,9.8,4.2,5.8,8.0,11.4,143,104,,0.2,0.1,0.3,.213
Shatori Walker-Kimbrough,IND,G,2,7,2,7,-13.0,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,50.0,12.5,0,119,,-0.1,0.0,-0.1,-0.352
Kiana Williams,PHO,G,8,105,8,105,7.2,.540,.500,.758,.152,0.0,1.7,6.3,1.9,0.9,14.6,17.8,93,114,,-0.1,0.1,0.0,-0.011
Anneli Maley,NYL,F,5,55,5,55,4.4,.230,.150,.500,.200,11.7,8.8,4.8,3.7,1.6,0.0,8.8,91,107,,0.0,0.1,0.0,.036
Shatori Walker-Kimbrough,ATL,G,7,18,7,18,21.5,.694,.500,.000,1.000,0.0,6.8,16.9,2.8,0.0,0.0,13.5,163,107,,0.1,0.0,0.1,.303
Sug Sutton,DAL,G,17,147,17,147,10.8,.563,.563,.438,.063,0.8,4.8,25.7,1.7,1.2,23.3,13.0,107,112,,0.1,0.1,0.2,.063
Grace VanSlooten,IND,F,12,33,12,33,6.4,1.000,1.000,.000,.000,0.0,7.6,4.3,0.0,2.6,42.9,9.2,97,113,,0.0,0.0,0.0,.019
Haley Jones,DAL,F-G,2,3,2,3,32.2,1.000,1.000,.000,.000,0.0,19.8,0.0,0.0,0.0,0.0,14.8,200,109,,0.0,0.0,0.0,.278
Lexi Held,PHO,G,26,450,26,450,8.0,.496,.464,.486,.150,2.7,4.6,14.1,1.1,0.9,13.9,17.4,96,115,,-0.3,0.2,-0.1,-0.007
Kiana Williams,LAS,G,13,146,13,146,5.6,.444,.446,.674,.065,0.8,2.5,21.2,1.3,0.0,17.4,17.2,89,119,,-0.2,0.0,-0.2,-0.062
Ta'Niya Latson,LVA,G,5,42,5,42,24.2,.678,.588,.235,.588,2.9,7.1,15.8,1.2,2.1,12.3,26.3,126,112,,0.2,0.0,0.2,.216
Kelsey Plum,PHO,G,4,89,4,89,23.1,.678,.628,.465,.419,0.0,6.2,31.7,1.1,0.0,16.4,31.0,115,114,,0.3,0.1,0.3,.145
Betnijah Laney-Hamilton,WAS,G-F,3,46,3,46,5.6,.375,.375,.750,.000,2.7,6.5,20.3,2.3,0.0,14.3,13.6,91,106,,0.0,0.1,0.0,.036
Monique Akoa Makani,LAS,G,2,35,2,35,2.0,.375,.333,.333,.250,3.4,3.4,12.6,1.4,0.0,18.4,20.4,75,119,,-0.1,0.0,-0.1,-0.154
Aneesah Morrow,TOR,F,4,78,4,78,17.1,.542,.482,.214,.571,9.4,15.6,8.7,2.6,4.8,14.6,23.3,104,112,,0.0,0.1,0.1,.058
