Season,Team,Conf,Class,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,player
2025-26,UCLA,Big Ten,SR,G,38.0,37.0,28.2,4.7,9.6,0.493,2.3,5.3,0.429,2.4,4.2,0.575,0.613,1.1,1.2,0.933,0.7,2.4,3.1,2.9,1.1,0.2,1.2,1.8,12.8,,Gianna Kneepkens
Career,Career,Career,Career,,142.0,133.0,27.4,5.1,10.2,0.495,2.4,5.5,0.431,2.7,4.7,0.568,0.61,2.4,2.7,0.869,0.8,3.6,4.4,2.4,1.0,0.3,1.6,2.0,14.8,,Gianna Kneepkens
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gianna Kneepkens
UCLA (1 Yr),UCLA (1 Yr),UCLA (1 Yr),UCLA (1 Yr),,38.0,37.0,28.2,4.7,9.6,0.493,2.3,5.3,0.429,2.4,4.2,0.575,0.613,1.1,1.2,0.933,0.7,2.4,3.1,2.9,1.1,0.2,1.2,1.8,12.8,,Gianna Kneepkens
Utah (4 Yrs),Utah (4 Yrs),Utah (4 Yrs),Utah (4 Yrs),,104.0,96.0,27.1,5.2,10.5,0.495,2.4,5.5,0.432,2.8,4.9,0.566,0.609,2.8,3.3,0.86,0.8,4.1,4.9,2.2,0.9,0.4,1.7,2.1,15.6,,Gianna Kneepkens
2022-23,Florida St.,ACC,FR,G,31.0,31.0,29.5,7.3,15.9,0.455,1.2,3.4,0.362,6.0,12.5,0.481,0.494,5.5,6.4,0.859,1.3,3.2,4.5,2.9,1.6,0.7,2.6,2.0,21.3,,Ta'Niya Latson
2023-24,Florida St.,ACC,SO,G,33.0,33.0,31.0,7.8,17.8,0.438,0.8,3.0,0.27,7.0,14.8,0.472,0.461,4.9,5.8,0.853,0.5,3.6,4.2,4.2,1.5,0.5,3.0,1.6,21.4,,Ta'Niya Latson
2024-25,Florida St.,ACC,JR,G,29.0,29.0,30.1,8.8,19.5,0.451,1.3,3.7,0.343,7.5,15.8,0.477,0.484,6.3,7.8,0.818,1.1,3.4,4.6,4.6,2.2,0.5,3.1,1.8,25.2,AP-AA-2USBWA-AA-2W-AA,Ta'Niya Latson
2025-26,South Carolina,SEC,SR,G,35.0,35.0,28.1,5.0,10.3,0.486,0.7,2.3,0.325,4.3,8.0,0.532,0.522,3.4,4.2,0.803,0.5,2.4,2.9,3.6,1.7,0.3,1.7,1.2,14.1,,Ta'Niya Latson
Career,Career,Career,Career,,128.0,128.0,29.6,7.1,15.7,0.455,1.0,3.1,0.326,6.1,12.6,0.486,0.487,5.0,5.9,0.834,0.9,3.1,4.0,3.8,1.7,0.5,2.6,1.6,20.2,,Ta'Niya Latson
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ta'Niya Latson
Florida State (3 Yrs),Florida State (3 Yrs),Florida State (3 Yrs),Florida State (3 Yrs),,93.0,93.0,30.2,7.9,17.7,0.448,1.1,3.4,0.326,6.8,14.4,0.476,0.479,5.6,6.6,0.842,1.0,3.4,4.4,3.9,1.8,0.5,2.9,1.8,22.5,,Ta'Niya Latson
South Carolina (1 Yr),South Carolina (1 Yr),South Carolina (1 Yr),South Carolina (1 Yr),,35.0,35.0,28.1,5.0,10.3,0.486,0.7,2.3,0.325,4.3,8.0,0.532,0.522,3.4,4.2,0.803,0.5,2.4,2.9,3.6,1.7,0.3,1.7,1.2,14.1,,Ta'Niya Latson
2021-22,South Carolina,SEC,FR,G,2,0,4.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.0,,Raven Johnson
2022-23,South Carolina,SEC,FR,G,36,3,18.7,1.7,4.5,0.368,0.4,1.6,0.241,1.3,2.9,0.438,0.411,0.5,0.7,0.654,0.6,2.1,2.6,3.4,1.1,0.4,1.4,1.1,4.2,,Raven Johnson
2023-24,South Carolina,SEC,SO,G,37,35,27.9,3.2,7.3,0.443,0.8,2.2,0.35,2.5,5.2,0.482,0.494,0.8,1.3,0.612,1.0,4.2,5.2,4.8,2.1,0.2,1.6,1.2,8.1,,Raven Johnson
2024-25,South Carolina,SEC,JR,G,39,39,24.2,1.9,5.6,0.35,0.6,2.0,0.295,1.4,3.6,0.381,0.403,0.4,0.6,0.682,1.3,3.2,4.5,2.8,1.4,0.6,1.0,0.9,4.9,,Raven Johnson
2025-26,South Carolina,SEC,SR,G,40,40,28.7,3.9,8.0,0.486,1.0,2.6,0.398,2.9,5.5,0.528,0.55,1.0,1.3,0.82,0.8,3.2,4.0,5.1,1.5,0.6,1.6,1.6,9.9,AP-AA-3WBCA-AA,Raven Johnson
Career,Career,Career,Career,,154,117,24.7,2.7,6.3,0.423,0.7,2.1,0.332,2.0,4.2,0.468,0.478,0.7,1.0,0.701,0.9,3.1,4.0,4.0,1.5,0.4,1.4,1.2,6.7,,Raven Johnson
2020-21,Tennessee,SEC,FR,G-F,22,14,16.0,1.7,4.1,.407,0.4,1.2,.296,1.3,2.9,.453,.451,0.4,0.5,.750,1.2,2.5,3.6,0.8,0.4,0.0,1.8,1.4,4.1,,Marta Suarez
2021-22,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Marta Suarez
2022-23,Tennessee,SEC,SO,G-F,14,0,12.5,1.5,4.0,.375,0.2,1.1,.188,1.3,2.9,.450,.402,1.7,2.2,.774,1.5,1.5,3.0,0.4,0.2,0.1,1.6,1.4,4.9,,Marta Suarez
2023-24,Cal,Pac-12,JR,G-F,34,34,28.1,4.5,11.2,.402,1.2,4.2,.296,3.3,7.0,.464,.457,1.6,2.2,.743,1.8,5.0,6.9,1.6,0.8,0.5,3.5,3.1,11.9,,Marta Suarez
2024-25,Cal,ACC,SR,G-F,32,32,29.1,5.1,11.1,.458,1.3,4.0,.315,3.8,7.1,.537,.514,1.6,1.9,.820,1.6,5.6,7.2,2.4,0.8,0.4,4.2,2.9,12.9,,Marta Suarez
